time,vel.prac,theta.prac,vel_sp,vel.sim,theta.sim
3.66,2.32818387549542,10.0379911260375,1.9906712,2.24205274989798,6.95663659272902
3.72,2.35933119561714,10.4040187284338,1.9906712,2.28708350463492,7.35872534245228
3.78,2.39001139278181,10.6130816205486,1.9906712,2.32925254924866,7.57681141811891
3.84,2.41893870644151,10.6012638363715,1.9906712,2.36832739298999,7.6108633140478
3.9,2.44445137072974,10.3515715661578,1.9906712,2.4037351357778,7.46433689290642
3.96,2.46487326320844,9.85003477645632,1.9906712,2.4352297093117,7.14411668672441
4.02,2.4801394718109,9.07773359170253,1.9906712,2.46253455228576,6.66025573230882
4.08,2.49004173410539,8.07360273142858,1.9906712,2.48527013077771,6.02587539072863
4.14,2.49599902865359,6.93806066342345,1.9906712,2.503401376728,5.25684377378885
4.2,2.49713067990699,5.6878747109778,1.9906712,2.51666592583178,4.3714737694429
4.26,2.49349580657034,4.32367974108348,1.9906712,2.52502483879846,3.39022937037926
4.32,2.48732554650015,2.88271324945797,1.9906712,2.52855452215804,2.33523855652004
4.38,2.48084553363921,1.34779593154491,1.9906712,2.52723055136454,1.22991640323085
4.44,2.47242541427188,-0.220495054196605,1.9906712,2.52136962032051,0.0984384290506164
4.5,2.4612993401992,-1.71301124362728,1.9906712,2.51118477974816,-1.03478518090674
4.56,2.44650788980162,-3.11252252650667,1.9906712,2.49702348317847,-2.14556792415538
4.62,2.42626654806779,-4.40035250153753,1.9906712,2.47941758833135,-3.21054280125251
4.68,2.40134031161763,-5.53328994227493,1.9906712,2.45876008005985,-4.20761004405796
4.74,2.37424316038928,-6.54444058534634,1.9906712,2.43568961290902,-5.11639728696709
4.8,2.34582029280867,-7.46346972622763,1.9906712,2.41074831297779,-5.91869475756438
4.86,2.31665047244083,-8.24430646988794,1.9906712,2.38446399797523,-6.59871446308437
4.92,2.28916766722768,-8.85471665938577,1.9906712,2.35748323520543,-7.14341214723658
4.98,2.26353578519833,-9.27773451127432,1.9906712,2.33026308845919,-7.54266268617662
5.04,2.23814652013168,-9.55269253939754,1.9906712,2.30337321631437,-7.7893845481915
5.1,2.21174969581062,-9.69369704077408,1.9906712,2.27731736516599,-7.87965823460491
5.16,2.18454847813611,-9.6539862330806,1.9906712,2.2524918019303,-7.81269712957883
5.22,2.15745748532751,-9.3673471303373,1.9906712,2.22939234822355,-7.59084209022136
5.28,2.13180582222703,-8.80521841947987,1.9906712,2.20834938965398,-7.21947769091923
5.34,2.10807745087363,-7.98591424561735,1.9906712,2.18973026641446,-6.70688907868148
5.4,2.0875964032481,-7.00324866140256,1.9906712,2.17387029774091,-6.06412378953439
5.46,2.07280810306221,-5.91276101033145,1.9906712,2.16096870279214,-5.30473320483617
5.52,2.06312051049677,-4.74975474504715,1.9906712,2.15127737131116,-4.44452295557976
5.58,2.05677356502615,-3.48017762132753,1.9906712,2.14489535698458,-3.50124126160345
5.64,2.05283223526934,-2.0954578066263,1.9906712,2.14188038106205,-2.49419644606333
5.7,2.04960630222436,-0.692012860341839,1.9906712,2.14224998312951,-1.44389410518511
5.76,2.04848015349108,0.660285092238245,1.9906712,2.14584218203312,-0.371568563593409
5.82,2.05207265919339,1.93428933062143,1.9906712,2.15250779849302,0.701265983196988
5.88,2.05935656652364,3.13462983778606,1.9906712,2.16196548072341,1.75326311797273
5.94,2.0700160336511,4.28528207859778,1.9906712,2.17386083421933,2.7637299170574
6,2.08437742306064,5.41451850354685,1.9906712,2.18784334499817,3.71302925041143
6.06,2.10192447526947,6.46263680659006,1.9906712,2.20344264995575,4.58299561560694
6.12,2.12097063618896,7.32699276218621,1.9906712,2.2202201136283,5.35729962717188
6.18,2.13949697137403,7.96958309654436,1.9906712,2.23771286911599,6.02173052306738
6.24,2.15479026711524,8.43284761060622,1.9906712,2.25543117650264,6.56445682847659
6.3,2.1680154552172,8.75877943468672,1.9906712,2.27295374409911,6.97620229156283
6.36,2.18127795056799,8.95528489686292,1.9906712,2.28983040549882,7.25037369787461
6.42,2.19570188502259,9.01557230076133,1.9906712,2.30566072564684,7.38314001341209
6.48,2.20967743236184,8.89756941533019,1.9906712,2.32007391463213,7.37345299253959
6.54,2.22096276000461,8.57415950072694,1.9906712,2.3326918895662,7.22304800257042
6.6,2.22800736605907,8.07014066779168,1.9906712,2.34322813946668,6.93636032873614
6.66,2.22969811775637,7.39592655398771,1.9906712,2.35139158909762,6.52041060006125
6.72,2.2257652455176,6.54660225839473,1.9906712,2.35693187038011,5.98467361837426
6.78,2.21868295671381,5.55122981099887,1.9906712,2.35966118461648,5.34088364071961
6.84,2.2109697541963,4.45636749347972,1.9906712,2.35940314115211,4.60281292660103
6.9,2.20316612196971,3.32049578044284,1.9906712,2.3560749359001,3.78599907802244
6.96,2.1982972313635,2.15694551060208,1.9906712,2.34963672500893,2.90742379614643
7.02,2.19395876251158,0.966060987282514,1.9906712,2.3401067238751,1.98518567629087
7.08,2.18551936434884,-0.220307589005606,1.9906712,2.32759743605784,1.03811845646587
7.14,2.17098389762072,-1.39013827401416,1.9906712,2.31225539073118,0.0854020823724256
7.2,2.15248594966569,-2.51147702184822,1.9906712,2.29431808289162,-0.853831800183744
7.26,2.13282702983437,-3.55966109493087,1.9906712,2.27407899800192,-1.7609180506683
7.32,2.11523670666849,-4.52462825157181,1.9906712,2.25187053932548,-2.61803481529849
7.38,2.10111937295433,-5.39333842626794,1.9906712,2.22809023003609,-3.40858369957547
7.44,2.08757052485145,-6.11142742120742,1.9906712,2.20314044092021,-4.117517201949
7.5,2.07221922840919,-6.69058535722991,1.9906712,2.1774458616758,-4.73161585134294
7.56,2.0536903612538,-7.16359817875125,1.9906712,2.15143652534642,-5.23973304078573
7.62,2.03306742513656,-7.55970561853591,1.9906712,2.12552522670495,-5.6329805495529
7.68,2.01255074000844,-7.88327652386215,1.9906712,2.10013106278921,-5.9048701401848
7.74,1.99354688797871,-8.09464807357594,1.9906712,2.07564204379672,-6.05140104042798
7.8,1.97765873191781,-8.10851840671683,1.9906712,2.05242764643765,-6.07110766985818
7.86,1.96581801775639,-7.88654422228132,1.9906712,2.03083707453576,-5.9650557423352
7.92,1.95612331009867,-7.4365546095556,1.9906712,2.01117017646345,-5.73677764130848
7.98,1.94665220232999,-6.81084013937982,1.9906712,1.99371429109888,-5.39219066381193
8.04,1.93794296690544,-6.09323752279723,1.9906712,1.97871336400182,-4.93947749349193
8.1,1.92944208896942,-5.31498920737802,1.9906712,1.96636280996629,-4.38890128870375
8.16,1.92310262760853,-4.4608156812165,1.9906712,1.95682021746041,-3.75259285316225
8.22,1.92178246861722,-3.52300783014016,1.9906712,1.95017256884905,-3.04429228117593
8.28,1.9245746972408,-2.52156818945892,1.9906712,1.94647354782604,-2.27907989760741
8.34,1.93069509172803,-1.47037774130115,1.9906712,1.94571391037144,-1.47307690017993
8.4,1.94118800479292,-0.428608383549688,1.9906712,1.94779938652272,-0.643088452927196
8.46,1.95403027102572,0.562048570162088,1.9906712,1.95259436851744,0.193755349492472
8.52,1.96731929676395,1.51534607131543,1.9906712,1.95990072804453,1.02034315037657
8.58,1.98260016948546,2.44438939405934,1.9906712,1.96946630171623,1.81994342581801
8.64,1.99881712474662,3.34659233020644,1.9906712,1.98100201931526,2.57654745028531
8.7,2.01384790274887,4.17943088515049,1.9906712,1.99416004747464,3.27520232894246
8.76,2.02972494308789,4.88272810994517,1.9906712,2.0085812128465,3.90231538573944
8.82,2.04631965949951,5.39108576479909,1.9906712,2.02389289777647,4.44589798598818
8.88,2.06220159171817,5.72110690478188,1.9906712,2.03970845173367,4.89578467034415
8.94,2.07913733869269,5.96842481173143,1.9906712,2.05565558116752,5.24380877390689
9,2.09676872860535,6.1755574909312,1.9906712,2.07135796211227,5.48392674050444
9.06,2.11330151118581,6.32924190131591,1.9906712,2.08645527193223,5.61231772646221
9.12,2.12889614550929,6.37304659836771,1.9906712,2.1006165974202,5.62742037313688
9.18,2.14249855049858,6.28345480803743,1.9906712,2.11353271570763,5.52992155657798
9.24,2.15310688184596,6.03689454820056,1.9906712,2.12492400167404,5.32271984577792
9.3,2.16297234004022,5.58692291453041,1.9906712,2.1345334103177,5.01085724433575
9.36,2.1718173760769,4.94593439254164,1.9906712,2.14214366043528,4.60140032485093
9.42,2.1759159371305,4.17350145338166,1.9906712,2.14757355697825,4.10329154567534
9.48,2.17468084360586,3.32151371469698,1.9906712,2.1506703150966,3.5271749669656
9.54,2.16922347554842,2.47594360823023,1.9906712,2.15134447920831,2.88517900367083
9.6,2.16184636155872,1.66745073585199,1.9906712,2.14955212440444,2.1906564737594
