time,vel.prac,vel_sp,vel.sim
2.34,2.0686114787352,1.99992101081552,2.04889514115935
2.4,2.09177919538297,1.9999208,2.07376561848999
2.46,2.11223643252747,1.9999208,2.09663308995849
2.52,2.13137858704296,1.9999208,2.11776770945097
2.58,2.14951688188623,1.9999208,2.13695700182739
2.64,2.16684214767827,1.9999208,2.15459152692182
2.7,2.18286740407501,1.9999208,2.17061566680631
2.76,2.19759270453709,1.9999208,2.1850577084611
2.82,2.21118516534758,1.9999208,2.1982165718821
2.88,2.22342796370143,1.9999208,2.20991259415919
2.94,2.23435958362241,1.9999208,2.22041292066401
3,2.24333242669639,1.9999208,2.22975553672465
3.06,2.2505057580803,1.9999208,2.23788665313867
3.12,2.25558105613587,1.9999208,2.2450826384623
3.18,2.259075028196,1.9999208,2.25121242807428
3.24,2.26174688021013,1.9999208,2.2564362129644
3.3,2.26375293492475,1.9999208,2.26085692491817
3.36,2.26518509539991,1.9999208,2.26438486553172
3.42,2.26556942038028,1.9999208,2.26724893149127
3.48,2.26569930333071,1.9999208,2.26937064121866
3.54,2.26525401080466,1.9999208,2.2708227935277
3.6,2.26515828516566,1.9999208,2.27173314395761
3.66,2.2651674082996,1.9999208,2.27200603264015
3.72,2.26453267479245,1.9999208,2.27181579969138
3.78,2.26303163916322,1.9999208,2.27113436168172
3.84,2.26051020706868,1.9999208,2.26997547027947
3.9,2.25740153999855,1.9999208,2.26847379630056
3.96,2.25430919560171,1.9999208,2.26654205551456
4.02,2.2512128282628,1.9999208,2.26429007213102
4.08,2.24791883565126,1.9999208,2.26173579872144
4.14,2.24473887867881,1.9999208,2.25885067980658
4.2,2.24210146654585,1.9999208,2.2557599122392
4.26,2.2390273474653,1.9999208,2.25240312628922
4.32,2.23614439774934,1.9999208,2.24884626167042
4.38,2.23272983435632,1.9999208,2.2451270346306
4.44,2.22800128871087,1.9999208,2.2411974795234
4.5,2.22293809527439,1.9999208,2.23715666117641
4.56,2.21703039093527,1.9999208,2.23296928343464
4.62,2.21119384252964,1.9999208,2.22866285932575
4.68,2.20525916562972,1.9999208,2.22429170102808
4.74,2.19986396523083,1.9999208,2.2198058145458
4.8,2.19387569518218,1.9999208,2.21528065515899
4.86,2.18820535200711,1.9999208,2.21069822239951
4.92,2.18243292626929,1.99991935132693,2.20605725846175
4.98,2.17701147904666,1.99991375498813,2.20141413943016
5.04,2.17192136853398,1.99979376382417,2.19672516719606
5.1,2.16723104695048,1.99978250099571,2.19203807967684
5.16,2.16298198723828,1.99986032586608,2.18735530402853
5.22,2.15897062607593,1.9998611,2.18266065959458
5.28,2.15519049651782,1.99990959052886,2.17800683052423
5.34,2.15038024654778,1.9999208,2.17335942673005
5.4,2.14499439581724,1.9999208,2.16874416159996
5.46,2.13889198333914,1.9999208,2.16417558185785
5.52,2.13357875466654,1.9999208,2.15962843658358
5.58,2.12830516827462,1.9999208,2.15514159554217
5.64,2.12379575780918,1.9999208,2.1506975023979
5.7,2.11905491919456,1.9999208,2.14630815338269
5.76,2.1142807653275,1.9999208,2.1419934955603
5.82,2.10923227063434,1.9999208,2.13772053297843
5.88,2.10398853581502,1.99984952753537,2.13352550818089
5.94,2.09897565261394,1.9992344819825,2.12939677548141
6,2.09457380655187,1.99924336211918,2.12532903870002
6.06,2.0914136487591,1.99973517819127,2.12134968963255
6.12,2.08861406954047,1.99974626658427,2.11743319703785
6.18,2.08668487957052,1.99952298696033,2.11359629539632
6.24,2.08369501971125,1.99920033696989,2.10983685496824
6.3,2.08040570084263,1.99957055850175,2.10614378473233
6.36,2.07663043124824,1.9987928003102,2.10254098385856
6.42,2.07192723545732,1.99855950122074,2.09900945861612
6.48,2.06714574999717,1.9983142993987,2.09556272200933
6.54,2.0626852699007,1.99852384031757,2.09220347327467
6.6,2.0587636315086,1.99925728374222,2.08891607442754
6.66,2.05484905051946,1.99985897114581,2.08571656690395
6.72,2.05155469486561,1.9998636330295,2.08259407371858
6.78,2.04814179130253,1.99974223832182,2.0795480884918
6.84,2.04459526018787,1.99989673168846,2.07658471680534
6.9,2.04174037704287,1.9999208,2.07369246983616
6.96,2.03930583341484,1.99988710890186,2.07088235130302
7.02,2.03715430881149,1.99986874368786,2.0681495945919
7.08,2.03527889465649,1.99991251697088,2.06549258947763
7.14,2.03407752968345,1.9999208,2.06291722156284
7.2,2.03337194802673,1.9999208,2.06041240423358
