time,theta
16.612,0.0043771376182992
16.632,0.00436706104808243
16.652,0.00432228126890584
16.676,0.00425800533049025
16.696,0.0041631579690744
16.712,0.00402893472023375
16.732,0.0038804068479814
16.756,0.00370880791531893
16.776,0.0035099649297498
16.792,0.00325034450243128
16.812,0.00298205550046911
16.832,0.0026750072029368
16.856,0.00233670550251417
16.872,0.00201094134854598
16.892,0.00166726531643252
16.912,0.00129869303543165
16.932,0.000864482757149778
16.952,0.000453518899761558
16.976,1.60390234780807e-05
16.992,-0.000419611096053236
17.012,-0.000802336289601375
17.032,-0.00119654314641996
17.056,-0.00162006327036354
17.076,-0.00212965784642156
17.092,-0.00261623719285515
17.112,-0.00312669939390689
17.132,-0.00360860688614868
17.152,-0.00410821545994272
17.172,-0.0046799956600431
17.192,-0.0052549041154961
17.212,-0.00581457232359636
17.232,-0.00627948459682528
17.252,-0.00675186569149704
17.272,-0.00718882726050988
17.292,-0.00763928168896574
17.312,-0.00805928986559582
17.332,-0.00846877820629391
17.352,-0.00890699160526779
17.376,-0.0093285569178305
17.392,-0.00973254261656029
17.412,-0.010055266620575
17.436,-0.0103577748311972
17.456,-0.0106433347921863
17.472,-0.0109681258344317
17.492,-0.0112634664600291
17.512,-0.0115099465541419
17.532,-0.0117301451638335
17.556,-0.0119005698381704
17.572,-0.01204897322735
17.592,-0.0121807579234599
17.612,-0.0123047764141882
17.636,-0.012394581189007
17.652,-0.0124658372653323
17.672,-0.0125060475608365
17.692,-0.0125081168853227
17.712,-0.0124854175949485
17.732,-0.0124443731311727
17.752,-0.0123755081342373
17.776,-0.0122941725335931
17.792,-0.0121946768542887
17.812,-0.012074142481813
17.832,-0.0119049495920372
17.852,-0.0116891657100734
17.872,-0.0114544540825105
17.892,-0.0111922998404387
17.912,-0.0109571224401217
17.932,-0.0107326007860605
17.952,-0.0105119544835859
17.972,-0.0102442256242294
17.996,-0.00994816009554311
18.012,-0.00965599370201084
18.032,-0.00935390692513848
18.052,-0.00907292672223614
18.072,-0.00875566253120144
18.096,-0.00841118047763438
18.112,-0.00798373321062192
18.132,-0.0075480129803724
18.152,-0.00718520890265126
18.172,-0.00686965148733116
18.192,-0.00659824470818123
18.212,-0.00629713676548913
18.232,-0.0059836433625589
18.252,-0.00561992808926911
18.272,-0.0052609131730535
18.292,-0.00493873469660265
18.312,-0.0045970252705885
18.332,-0.00425909350581325
18.352,-0.00393524882577326
18.372,-0.00365273662760694
18.392,-0.00339042887875343
18.412,-0.00316121011975653
18.432,-0.00293754576972043
18.452,-0.00267149902244574
18.472,-0.00241991406740369
18.492,-0.00217459414260861
18.512,-0.00197525280391183
18.532,-0.00181237379499619
18.552,-0.00165941135538302
18.572,-0.00152281347522135
18.592,-0.00138528800665182
18.612,-0.00127268424296071
18.632,-0.00116349531775879
18.652,-0.00105948575238615
18.672,-0.000948786882825371
18.692,-0.000852690578427789
18.716,-0.000784367956932811
18.732,-0.000735072021630775
18.756,-0.000704345617781242
18.772,-0.000682219416202074
18.792,-0.000666670748170421
18.816,-0.000653516503846152
18.832,-0.000652786972885846
18.852,-0.000666629497087947
18.872,-0.000686288629343118
18.896,-0.000712820902546839
18.912,-0.000744385403993293
18.932,-0.000776075285333411
18.952,-0.000811557471881117
