time,vel_sp,vel,theta,acc_sp
1.2,2,0.0457858076096047,0.923533289133969,-0.0962657568477406
1.22,2,0.0734861491071073,0.907858626320302,-0.121973835971127
1.24,2,0.107200134416935,0.875023518615028,-0.150159513391913
1.26,2,0.145904083761352,0.821995811183883,-0.166531979919291
1.28,2,0.187728399216387,0.746924157183837,-0.179580217472113
1.3,2,0.232138904465496,0.648257720008811,-0.184909788242971
1.32,2,0.276895374436967,0.52551262280559,-0.183553847820509
1.34,2,0.322192509441222,0.378543587855548,-0.180531043274958
1.36,2,0.365940616187989,0.207885607960833,-0.16911502036184
1.38,2,0.408936381003941,0.0143796110181271,-0.161776827042895
1.4,2,0.449554771728727,-0.20091203509116,-0.145576177578357
1.42,2,0.488857647572637,-0.436639658281461,-0.137337685059497
1.44,2,0.525837520884053,-0.691622378071844,-0.120825382438403
1.46,2,0.56142403825632,-0.964375578049291,-0.113516204059966
1.48,2,0.595254323541225,-1.25382988667708,-0.0994914784266742
1.5,2,0.627809543143471,-1.55858245631842,-0.0933406203685871
1.52,2,0.659319787986153,-1.87772996657725,-0.082937810815895
1.54,2,0.689676766370588,-2.21003031337891,-0.0772381413482012
1.56,2,0.719585028635917,-2.5546839972561,-0.0703550479304634
1.58,2,0.748388469806647,-2.91060019226654,-0.0641739183928293
1.6,2,0.777098581889114,-3.2769782701393,-0.060018071625425
1.62,2,0.80469466281214,-3.65283279707078,-0.0527456920959871
1.64,2,0.83229446142655,-4.03727082918844,-0.0502545547351457
1.66,2,0.85877403675064,-4.42936351368869,-0.0418499938679986
1.68,2,0.885146764093747,-4.82807851469573,-0.0399868122853771
1.7,2,0.910448370708141,-5.23250463387353,-0.0309140713449748
1.72,2,0.935403594605997,-5.6414732988813,-0.0287988008108368
1.74,2,0.959415178051802,-6.05406598370713,-0.019826723217736
1.76,2,0.982793125506552,-6.46901903432421,-0.0168035856868894
1.78,2,1.00541757591242,-6.88538974975543,-0.00872804689747914
1.8,2,1.02714547594354,-7.30187976284637,-0.00442974785165683
1.82,2,1.04832964337926,-7.71751259191215,0.00217780543907639
1.84,2,1.06842947593541,-8.13101982430918,0.00782606868048785
1.86,2,1.08817017796463,-8.54138569611986,0.0127146591180583
1.88,2,1.10674268173938,-8.94742091003564,0.0195254862717666
1.9,2,1.12507037914746,-9.34807213790883,0.02283783853888
